Phrase,phrase.thisRepN,phrase.thisTrialN,phrase.thisN,phrase.thisIndex,recall_resp,key_resp.keys,key_resp.rt,key_resp.started,text_feedback.started,text_phrase.started,Prompt.started,participant,session,date,frameRate
there will be desserts at the party,0,0,0,1,there will be desserts at the party,"['t', 'h', 'e', 'r', 'e', ' ', 'w', 'i', 'l', 'l', ' ', 'b', 'e', ' ', 'd', 'e', 's', 's', 'e', 'r', 't', 's', ' ', 'a', 't', ' ', 't', 'h', 'e', ' ', 'p', 'a', 'r', 't', 'y']","[5.827810089016566, 5.959960486012278, 6.15795717400033, 6.355992374999914, 6.566273396019824, 6.673021365015302, 7.16573741499451, 7.32591102400329, 7.562729521014262, 7.721605149010429, 7.885872282000491, 8.182774579996476, 8.286923147999914, 8.354734604014084, 10.475791508011753, 10.760583187016891, 22.986815034993924, 23.156545937992632, 23.40024829801405, 23.610582185006933, 23.81551635399228, 24.24326819801354, 24.37523972100462, 24.518478615995264, 24.822244817012688, 24.93189847501344, 25.018250522000017, 25.203594883001642, 25.88417394499993, 26.21045622701058, 26.29871888901107, 26.34241269301856, 26.522437517996877, 26.61550635501044, 26.859396312007448, 27.060473441000795, 27.58211447900976, 29.957266582001466]",16.39134447,16.39134447,16.39134447,16.39134447,1,1,2019_Dec_10_0024,60.01176194
the little boy loved his toys,0,1,1,2,the little boy loved his toys,"['t', 'h', 'e', ' ', 'l', 'i', 't', 't', 'l', 'e', ' ', 'b', 'o', 'y', ' ', 'l', 'o', 'v', 'e', 'd', ' ', 'h', 'i', 's', ' ', 't', 'o', 'y', 's']","[1.0062775900005363, 1.1543143640155904, 1.2302526330167893, 1.2832137770019472, 1.4502963120175991, 1.6332317469932605, 1.712148165999679, 1.8498765020049177, 1.9721892689995002, 2.0603867699974217, 2.1602501310117077, 2.37737245101016, 2.587341753009241, 2.6631435849994887, 2.6996693380060606, 2.8592787889938336, 3.025309170014225, 3.1552902029943652, 3.8052477879973594, 4.012176807998912, 4.152098157996079, 4.599875159008661, 4.763048840017291, 4.82727767599863, 4.919109823007602, 5.054423779016361, 5.118004946009023, 5.322177563008154, 5.458235369005706, 5.720248177996837]",46.3901447,46.3901447,46.3901447,46.3901447,1,1,2019_Dec_10_0024,60.01176194
the cow jumped over the moon,0,2,2,0,the cow jumped over the moon,"['t', 'h', 'e', ' ', 'c', 'o', 'w', ' ', 'j', 'u', 'm', 'p', 'e', 'd', ' ', 'o', 'v', 'e', 'r', ' ', 't', 'h', 'e', ' ', 'm', 'o', 'o', 'n']","[0.9002215939981397, 1.062412403000053, 1.102536655991571, 1.2246729400067125, 1.3395638200163376, 1.551348100998439, 2.4695308869995642, 3.051322125014849, 3.2775667550158687, 3.4425818670133594, 3.6235667419969104, 3.7999005140154622, 3.8624339580128435, 4.044549512997037, 4.156334892992163, 4.311621049011592, 4.316385934012942, 4.534304908011109, 4.691521486995043, 4.7472470340144355, 4.849923542991746, 4.94452942701173, 5.036507540993625, 5.1803417460178025, 5.380328853992978, 5.539319647010416, 5.595328227005666, 6.017223608010681, 6.174514254002133, 6.34050063000177, 6.495284296019236, 6.74622379700304, 7.0214215610176325, 7.225445390009554, 7.3873575259931386, 7.459381277003558, 7.8972136299998965]",52.15669321,52.15669321,52.15669321,52.15669321,1,1,2019_Dec_10_0024,60.01176194
